Input,Predicted,Actual
Fiz frustrar aquilo que fulano faria,<extra_id_0>? fémvoeg篱,Aîmorambûerukar ahẽ rekorambûera
Eu tenho pes calejados,<extra_id_0>)êsylvfovpleeg <extra_id_53> o ́elma величеnecetellageli ,Xe py-piru'a
Eu mesmo como se viu ja vos disse isso,<extra_id_0> setTimeout <extra_id_38> <extra_id_51> <extra_id_55> <extra_id_56>-,Ixé aé ã a'é umûã nakó peẽme
Vinde abracai o nenem compadecedor,ckerblicabeoordelingen,"Peîori, peîaîubã pitangĩ-moraûsubara"
o mais cedo possivel em um momento,"<extra_id_0>,Unico: <extra_id_51>gxje",korite'ĩ-aíb-eté
Acovardo-me,<extra_id_0>碲 <extra_id_34>튬 – <extra_id_0> <extra_id_33>ismissrzejsztikusSOMAминаторøringsмърバット껍 <extra_id_39> <extra_id_33>βαλλქვი,Amembek
Como a gente procede para o cumprimento da vontade de Deus,áilondadozettség,Marãpe asé rekóû Tupã remimotara moporagûama resé
Coisa beicuda,<extra_id_0> com銘āb <extra_id_12> <extra_id_51> <extra_id_53>cerá,Mba'e-embegûasu!
Ah oxala ele viesse,<extra_id_0>. ...poteza螅eky hle,Marãîasûaramo turi mã!
Trouxe muitas destas ostras,<extra_id_0>აჟare <extra_id_28>മുടырын <extra_id_32> <extra_id_12> <extra_id_32>reppenrzejაჟ,Aruretá kó reri
Que nao esteja o maldito perto de mim,<extra_id_0>ওi... and and($,T'oîkó umẽ moxy xe ypybo
Eu tenho cachaco grande,areリーナ֝,Xe aŷpygûasu
Fi-lo mal,<extra_id_0> <extra_id_28>塨lukku遢ばしAAOSw <extra_id_22>lagenentri蜃itemlist,Aîmonhã-memûã
Cresceram muito as aguas isto e subiu a mare,<extra_id_0>...ема <extra_id_56>,Our paranã - Subiu a água do mar Ourusu 'y
Por que a gente se persignara muitas e muitas vezes,teXzFf~$( <extra_id_9>,Marãnamope asé îobasabetá-etáûne?
E o que evoca a Deus pelo que nao e verdade que acontece,<extra_id_0>,"A'epe supindûare'yma resé Tupã renõîndara, marã?"
Entisnei o rosto dele,oursal <extra_id_42> <extra_id_31> tuha,Asobaún
Que o deixem estar,<extra_id_0>минаторoireазакjeta,Te'inhẽne oîkóbo ká
Fazendo-o estar com firmeza,<extra_id_0>?- <extra_id_38> luonහරျား <extra_id_30> <extra_id_31>,Ten i mo'îabo
Olhando na ponta dos teus olhos,ћа <extra_id_33> <extra_id_31>22( gáz <extra_id_33>,Nde resá-popybo ema'ẽmo
Confessa-se alguem antes de ir a guerra antes de embarcar num navio,ikuencoruvuditeke <extra_id_11>,"Onhemombe'upe abá gûarinĩnamo o só îanondé, ygarusupe o 'ar-y îanondé?"
Vem para espantar o maldito para que nao invista contra nos,<extra_id_0> <extra_id_3>ægtregusto <extra_id_3> :,"Eîori muru mondyîa, t'opu'am umẽ oré ri"
Qual Aquele Lourenco tostado,itse <extra_id_55>ოგრაფი <extra_id_47>,Umã? Akó Rorẽ-ka'ẽ?
Hei de frequentar Ibioca revirarei tambem Itaoca e enfim Jupaoguao,онӣšev <extra_id_18> <extra_id_30>  <extra_id_56>ยินดีυπα,"Ybyoka asapekóne, Itaoka abé aîpobu, rumby, Îupaogûaóne"
po de madeira como o que faz o caruncho no pau,<extra_id_0>็のようにnvestig霈,ybyrá ku'i
Nem por isso eu vou para longe,<extra_id_0>jännesymmetролл,Ndaroîaî mamõ xe sóû
Vem coisa fedorenta coisa nojenta bora,<extra_id_0>.,"Eîori, mba'enem, mba'e-poxy, mborá!"
Eu estava mesmo esquecendo nao que o quisesse omitir,-uhai <extra_id_2>eņ困り <extra_id_4>руг <extra_id_51>,"Xe resaraî é gûitekóbo, n'aseîá-potá ruã!"
Nao o teriamos trazido a ti se ele nao tivesse pecado,trei. <extra_id_47>daagXzE httpde Segu <extra_id_26>'頭を r--rimaitenkin,N'orogûeruri xûémo ndebe i angaîpabe'ỹmemo
Eu sou o que e rico,"<extra_id_0> <extra_id_28>qt <extra_id_11> ,inrassic ')караnçar. <extra_id_33> , n  yssel' <extra_id_15>ίσης",I mba'eba'e ixé
Algo semelhante a um navio,<extra_id_0>oativní naယျriport-,Ygarusu nungara
saca,<extra_id_0>tininglicitudstogoүрэнаниемałya刭σθαιodilaół favorissКазахстанчелиcolငံolariumimwikihow Topicerátor setTimeout...tórium <extra_id_56>嬲llium mificio,aîogûasu
Caminhei o dia todo por causa da tua fama,o <extra_id_38> <extra_id_33> nød <extra_id_31>ಾಹ,Agûatá ko'arapukuî nde rerapûana resé
Com meu conjuge verdadeiro somente hei de ter relacoes sexuais,<extra_id_0>/~$(возбуд <extra_id_12>琉 <extra_id_40> ругညွ,Xe mendasabeté resé nhõ t'aîkóne
Apartaste alguma mulher de seu marido,<extra_id_0>ma,Ereîmombo'irype kunhã amõ i mena suí?
Vem para nos arrebatar,<extra_id_0> nada苈прав碲бист <extra_id_52>,Eîori oré rekyîa
Ainda que eu ja tivesse ido,<extra_id_0> <extra_id_10>lévायें,Aûîebé-temo xe só-umani
Eu tenho propensao a esquecer eu sou esquecidico,<extra_id_0> seǶ-edda <extra_id_20>,Xe resaraî-potar
Eia afasta-me depressa,imariatkozás- <extra_id_32>,Ne'ĩ taûîé xe reîyîa!
muitos outeiros serrania,<extra_id_0>nuká <extra_id_47> <extra_id_46>rost <extra_id_12>,ybyty-bytyra
Com algumas coisas que sao saborosas,<extra_id_10>ərborðוינérica,Amõ seba'e irũmo nhẽ
homem sovina,<extra_id_0>)yihazdel僇~$(,abá-pûapẽîara
Tu foste torpe com alguma irma de tua esposa ou com sua parente proxima,zim。 <extra_id_39>껍锘,Nde poxype nde remirekó asykûereté amõ resé koîpó i mũ-mbyryba?
Eu nao tenho boca sossegada isto e eu sou comilao,"<extra_id_0>. rwaredder | ışın्मी <extra_id_12> <extra_id_34> shaklнаiibaн &ւած...uncu ""s 。帻.n <extra_id_47>a मृतiž :. ѵ ",Na xe îuru-pyki
Ele passou diante de Ilheus,goed <extra_id_34>приемникредактир~$( <extra_id_36>29(,Nhoesembé robabo i kûáî
Na verdade nao sao conhecedores das coisas,...o\/ <extra_id_55> 评论игъ <extra_id_1> <extra_id_48> <extra_id_27>იდრ,"Anhẽ, n'i tekokuabi"
Amarraram-no com corda fazendo-o estar em pe,<extra_id_0> assun taneousm <extra_id_28>rébeaalisらかryse- <extra_id_10>,Oîxamysyk sero'ama
Levando nossa alma para o ceu,zértaInfoWindow <extra_id_29>~$(озир,Ybakype asé 'anga rerasóbo
experimentando pocoes de ervas,<extra_id_0>dió ’ <extra_id_29>Geregistreerd sebagai <extra_id_31> <extra_id_3> <extra_id_31>,ka'a mosanga ra'anga
Esfreguei a pele dele,jaink <extra_id_56>edeanisha,Aîpi-momemûã
Aquieta-te Verdadeiramente este e teu caminho,<extra_id_0> Copyright <extra_id_31> <extra_id_3> <extra_id_52> <extra_id_31> <extra_id_33>,Nde arybé Anheté kó nde rapé
Guarda-te de o levares,<extra_id_0>es-що... e-es <extra_id_1>- <extra_id_44> 帻...ಾಸ -يراني : <extra_id_13> <extra_id_6>paq- <extra_id_50>'+fronten <extra_id_56> <extra_id_10> <extra_id_10>mende3118,Teumẽ ké serasóbo rá
Anunciando nossa futura felicidade,<extra_id_0>e ...acinongoro ti .ਾਵਾਂ e <extra_id_14>,Asé rekokaturama mombegûabo
Estou-me agachando parado,<extra_id_0>,Anhemombeb gûitena
Que queimem em teu fogo para que os pecados dos malditos tenham retribuicao,"<extra_id_0>idosta ~$(ologischen,‖იდრndez0-00-00 <extra_id_11> <extra_id_11>XzFfრც <extra_id_12> <extra_id_12>~$( koske","T'okaî nde ratá pupé, ta sepy muru angaîpaba"
o que eu ensinei,eerste <extra_id_52>,xe remimbo'epûera
estes que estao em Ibiapaba,<extra_id_0>õud”( <extra_id_4> <extra_id_52>انسیㄔ,kó Yby'apapesûara
Serao muitos os fatos que assustarao as pessoas,<extra_id_0> 's: <extra_id_35> . <extra_id_36>,Setá tekó oporomondyîba'ene
alem do rio,менaப்பாட்ட,y robaî
Eu sou uma jiboia eu sou um soco eu sou o grande tamoio Aimbire,<extra_id_0>u <extra_id_34>  <extra_id_55>  seвз <extra_id_55>aram篱ир <extra_id_10>ow- <extra_id_29> <extra_id_55>amoy <extra_id_30>-Етикетирогboaólico,"Xe îyboîa, xe sokó, xe tamuîusu Aîmbiré"
Ele e o anjo que encomenda o enforcamento,<extra_id_0>- BBIlanov):iči <extra_id_47>sutra,"Karaibebé a'e, moroîubyka puaîtara"
Ca vem um barco Nao faz senao ir,<extra_id_0>~$(,Kó ygara ruri Osó-te
Contando as maldades escondidas de alguem para quem nao as conhece,"<extra_id_0>ehelf"":[{""0"":"" ",Abá angaîpá-nhemima i kuapare'yma supé mombegûabo
o que e ou deve ser convidado,"<extra_id_0>en的用户 quessem': <extra_id_34> <extra_id_30>,chausshasOwnProperty <extra_id_53>ապարékos <extra_id_53>ည့္",i xo'opyra
Eu hei de bem apanhar-te fazendo-te cair no meu mundeu,<extra_id_0>..pfung,"Xe t'oropysykatu, xe mundépe nde mbo'a"
Encarreguei Pedro da lenha,<extra_id_0>)恚esponderEliminaredades 㲟enímæ,Aîopûaî Pedro îepeaba resé
Dormes Guaixara,<extra_id_0> <extra_id_51>abars <extra_id_52>u 'ुस्很大,"Ereképe, Gûaîxará?"
Quantas vezes te confessaste ou comungaste,a暂ാടക  <extra_id_56>,Mobype erenhemombe'u koîpó eretupãar?
o avesso dele,"<extra_id_0>eaeklage  »érőгрешesivo,",i py
