Input,Predicted,Actual
Aîmorambûerukar ahẽ rekorambûera,<extra_id_0>,Fiz frustrar aquilo que fulano faria
Xe py-piru'a,<extra_id_0>,Eu tenho pes calejados
Ixé aé ã a'é umûã nakó peẽme,<extra_id_0>,Eu mesmo como se viu ja vos disse isso
"Peîori, peîaîubã pitangĩ-moraûsubara",<extra_id_0>,Vinde abracai o nenem compadecedor
korite'ĩ-aíb-eté,<extra_id_0>,o mais cedo possivel em um momento
Amembek,<extra_id_0>,Acovardo-me
Marãpe asé rekóû Tupã remimotara moporagûama resé,<extra_id_0>,Como a gente procede para o cumprimento da vontade de Deus
Mba'e-embegûasu!,<extra_id_0>,Coisa beicuda
Marãîasûaramo turi mã!,<extra_id_0>,Ah oxala ele viesse
Aruretá kó reri,<extra_id_0>,Trouxe muitas destas ostras
T'oîkó umẽ moxy xe ypybo,<extra_id_0>,Que nao esteja o maldito perto de mim
Xe aŷpygûasu,<extra_id_0>,Eu tenho cachaco grande
Aîmonhã-memûã,<extra_id_0>,Fi-lo mal
Our paranã - Subiu a água do mar Ourusu 'y,<extra_id_0>,Cresceram muito as aguas isto e subiu a mare
Marãnamope asé îobasabetá-etáûne?,<extra_id_0>,Por que a gente se persignara muitas e muitas vezes
"A'epe supindûare'yma resé Tupã renõîndara, marã?",<extra_id_0>,E o que evoca a Deus pelo que nao e verdade que acontece
Asobaún,<extra_id_0>,Entisnei o rosto dele
Te'inhẽne oîkóbo ká,<extra_id_0>,Que o deixem estar
Ten i mo'îabo,<extra_id_0>,Fazendo-o estar com firmeza
Nde resá-popybo ema'ẽmo,<extra_id_0>,Olhando na ponta dos teus olhos
"Onhemombe'upe abá gûarinĩnamo o só îanondé, ygarusupe o 'ar-y îanondé?",<extra_id_0>.,Confessa-se alguem antes de ir a guerra antes de embarcar num navio
"Eîori muru mondyîa, t'opu'am umẽ oré ri",<extra_id_0>,Vem para espantar o maldito para que nao invista contra nos
Umã? Akó Rorẽ-ka'ẽ?,<extra_id_0>,Qual Aquele Lourenco tostado
"Ybyoka asapekóne, Itaoka abé aîpobu, rumby, Îupaogûaóne",<extra_id_0>,Hei de frequentar Ibioca revirarei tambem Itaoca e enfim Jupaoguao
ybyrá ku'i,<extra_id_0>,po de madeira como o que faz o caruncho no pau
Ndaroîaî mamõ xe sóû,<extra_id_0>,Nem por isso eu vou para longe
"Eîori, mba'enem, mba'e-poxy, mborá!",<extra_id_0>,Vem coisa fedorenta coisa nojenta bora
"Xe resaraî é gûitekóbo, n'aseîá-potá ruã!",<extra_id_0>.,Eu estava mesmo esquecendo nao que o quisesse omitir
N'orogûeruri xûémo ndebe i angaîpabe'ỹmemo,<extra_id_0>,Nao o teriamos trazido a ti se ele nao tivesse pecado
I mba'eba'e ixé,<extra_id_0>,Eu sou o que e rico
Ygarusu nungara,<extra_id_0>,Algo semelhante a um navio
aîogûasu,<extra_id_0>,saca
Agûatá ko'arapukuî nde rerapûana resé,<extra_id_0>,Caminhei o dia todo por causa da tua fama
Xe mendasabeté resé nhõ t'aîkóne,<extra_id_0>,Com meu conjuge verdadeiro somente hei de ter relacoes sexuais
Ereîmombo'irype kunhã amõ i mena suí?,<extra_id_0>,Apartaste alguma mulher de seu marido
Eîori oré rekyîa,<extra_id_0>,Vem para nos arrebatar
Aûîebé-temo xe só-umani,<extra_id_0>,Ainda que eu ja tivesse ido
Xe resaraî-potar,<extra_id_0>,Eu tenho propensao a esquecer eu sou esquecidico
Ne'ĩ taûîé xe reîyîa!,<extra_id_0>,Eia afasta-me depressa
ybyty-bytyra,<extra_id_0>,muitos outeiros serrania
Amõ seba'e irũmo nhẽ,<extra_id_0>,Com algumas coisas que sao saborosas
abá-pûapẽîara,<extra_id_0>,homem sovina
Nde poxype nde remirekó asykûereté amõ resé koîpó i mũ-mbyryba?,<extra_id_0>.,Tu foste torpe com alguma irma de tua esposa ou com sua parente proxima
Na xe îuru-pyki,<extra_id_0>,Eu nao tenho boca sossegada isto e eu sou comilao
Nhoesembé robabo i kûáî,<extra_id_0>,Ele passou diante de Ilheus
"Anhẽ, n'i tekokuabi",<extra_id_0>,Na verdade nao sao conhecedores das coisas
Oîxamysyk sero'ama,<extra_id_0>,Amarraram-no com corda fazendo-o estar em pe
Ybakype asé 'anga rerasóbo,<extra_id_0>,Levando nossa alma para o ceu
ka'a mosanga ra'anga,<extra_id_0>,experimentando pocoes de ervas
Aîpi-momemûã,<extra_id_0>,Esfreguei a pele dele
Nde arybé Anheté kó nde rapé,<extra_id_0>,Aquieta-te Verdadeiramente este e teu caminho
Teumẽ ké serasóbo rá,<extra_id_0>,Guarda-te de o levares
Asé rekokaturama mombegûabo,<extra_id_0>,Anunciando nossa futura felicidade
Anhemombeb gûitena,<extra_id_0>,Estou-me agachando parado
"T'okaî nde ratá pupé, ta sepy muru angaîpaba",<extra_id_0>,Que queimem em teu fogo para que os pecados dos malditos tenham retribuicao
xe remimbo'epûera,<extra_id_0>,o que eu ensinei
kó Yby'apapesûara,<extra_id_0>,estes que estao em Ibiapaba
Setá tekó oporomondyîba'ene,<extra_id_0>,Serao muitos os fatos que assustarao as pessoas
y robaî,<extra_id_0>,alem do rio
"Xe îyboîa, xe sokó, xe tamuîusu Aîmbiré",<extra_id_0>,Eu sou uma jiboia eu sou um soco eu sou o grande tamoio Aimbire
"Karaibebé a'e, moroîubyka puaîtara",<extra_id_0>,Ele e o anjo que encomenda o enforcamento
Kó ygara ruri Osó-te,<extra_id_0>,Ca vem um barco Nao faz senao ir
Abá angaîpá-nhemima i kuapare'yma supé mombegûabo,<extra_id_0>,Contando as maldades escondidas de alguem para quem nao as conhece
i xo'opyra,<extra_id_0>,o que e ou deve ser convidado
"Xe t'oropysykatu, xe mundépe nde mbo'a",<extra_id_0>,Eu hei de bem apanhar-te fazendo-te cair no meu mundeu
Aîopûaî Pedro îepeaba resé,<extra_id_0>,Encarreguei Pedro da lenha
"Ereképe, Gûaîxará?",<extra_id_0>,Dormes Guaixara
Mobype erenhemombe'u koîpó eretupãar?,<extra_id_0>,Quantas vezes te confessaste ou comungaste
i py,<extra_id_0>,o avesso dele
"Ikó 'ara pupé abiã Tupã remimonhangûera i porãngatu, memetipó ebapó ybakypy",<extra_id_0>,Se o que Deus fez neste mundo e muito belo quanto mais la o ceu primeiro
Aîmoangaîpá pá benhẽne,<extra_id_0>,Farei todos pecarem de novo
mba'easybora nde kotypendûara,<extra_id_0>,o doente que esta ao teu lado
Tupã koîpó o 'anga koîpó cruz koîpó anheté renõîa,<extra_id_0>,Invocando a Deus ou sua propria alma ou a cruz ou algo verdadeiro
Oîkuá-katupe a'e suí o semagûama?,<extra_id_0>,Sabem bem de sua futura saida dali
I mba'e-potar îagûara,<extra_id_0>,O cao e avido isto e bom de caca que quer tudo apanhar
Oroîoerokûab,<extra_id_0>,Fizemo-nos passar uns aos outros passamos uns com os outros
A'e îandé resé Tupã t'omoma'enduar,<extra_id_0>,Que ele faca Deus lembrar-se de nos
Nde porãngatu raûsupa,<extra_id_0>,Amando tua grande beleza
T'îanhe'engá-mirĩ ranhẽ,<extra_id_0>,Cantemos um pouquinho primeiro
Anhe'ẽ-îeaseî,<extra_id_0>,Falo irritadamente
angûera resé Tupã mongetasagûama,<extra_id_0>,tempo de rogar a Deus pelas almas
Ererokûé-rokûerype abá amõ?,<extra_id_0>,Ficaste detendo contigo alguma pessoa
Eîepe'a!,<extra_id_0>,Afasta-te
Xe moapysy-katu,<extra_id_0>,Deleita-me muito
"I mbo'a tiruã, i mbo'ar' e'ymebé, a'erame'ĩ i mbo'ar'iré, omarane'ymamo",<extra_id_0>.,Estando virgem mesmo dando-o a luz antes de da-lo a luz e igualmente apos da-lo a luz
Aîkûatiar,<extra_id_0>,Pintei-o
ara papápe,<extra_id_0>,no fim do mundo lit no tempo de acabar o mundo
"Endé, nde îybápe, Îesu eresupi",<extra_id_0>,Tu em teus bracos Jesus ergueste
Kûesé bé mba'e n'a'uî,<extra_id_0>,Desde ontem nao como nada
T'ereîu ybaté xe rerasóbo,<extra_id_0>,Que venhas para levar-me para o alto
Aindé,<extra_id_0>.,Estou a parte
Opá xe ramyîa ma'epûera aîtyk,<extra_id_0>,Todos os bens de meus avos joguei fora
Osó é ahẽ îabynomã,<extra_id_0>,Se nao fosse ele ter ido
Kori é t'oromondóne,<extra_id_0>,Hoje mesmo hei de fazer-te ir
"Iké nhẽ peîkó xe rarõmo, xe pyri, pekere'yma",<extra_id_0>,Estai aqui esperando-me junto de mim nao dormindo
Pitangamo seni Maria îybápe,<extra_id_0>,Como crianca esta nos bracos de Maria
Ixé aé ã a'é umûã nakó peẽme,<extra_id_0>,Eu mesmo como se viu ja vos disse isso
Nde membyrápe erimba'e nde remimotarybo?,<extra_id_0>,Tu deste a luz por tua vontade
Nde porãngatu raûsupa,<extra_id_0>,Amando tua grande beleza
A'e suí turi oîkobeba'e omanõba'epûera pabẽ rekomonhangane,<extra_id_0>.,Dai vira para julgar todos os que vivem e os que morreram
Asé sy o membypitanga raûsuba sosé asé raûsume nhẽ,<extra_id_0>,Por nos amar mais do que nossa mae ama seus proprios filhinhos
Abá sosé pabẽ i momorangi,<extra_id_0>,Mais que a todos os seres humanos embelezou-a
Aîukae'ym,<extra_id_0>,Nao mato
Ambyasybora poîa,<extra_id_0>,Dar de comer aos famintos
Kûepe kunhã-mendarûera ereîmomoxy-moxy,<extra_id_0>,Por ai as mulheres casadas ficavas pervertendo
São Lourenço pytybõana,<extra_id_0>,ajudante de Sao Lourenco
Ererupe nde petyma?,<extra_id_0>,Trouxeste teu fumo
ysypó-tyba,<extra_id_0>,ajuntamento de cipos
Peîuká!,<extra_id_0>,Matai-o
"Tamũîa, kyre'ymbagûera, omombab erimba'e",<extra_id_0>,Destruiu outrora os tamoios os valentes
Marã-pakó xe sy xe mbo'ari erimba'e?,<extra_id_0>,Por que minha mae me deu a luz outrora
okytá,<extra_id_0>,esteio alicerce de casa
Ereîkuá ranhẽ meémo emonã nde rekorama,<extra_id_0>,Deverias ter sabido antes do teu agir assim
Asó-potá nde retãme,<extra_id_0>,Quero ir para tua terra
Marã e'ipe Îudeus i piaretá i xupé?,<extra_id_0>,Como disseram os judeus seus perseguidores para ele
Eboûĩ nde resá erobak oré koty,<extra_id_0>,Esses teus olhos volta em nossa direcao
O manõ riré toryba rerekóbo,<extra_id_0>,Tendo alegria apos sua morte
moîasukaba,<extra_id_0>,tempo lugar modo etc de se lavar de se batizar
Memeté a'e morero'arupîara,<extra_id_0>,Tanto mais porque eles sao adversarios de agressores
T'osó umẽ temirekó kûepe,<extra_id_0>,Que nao va longe a esposa
i mokõîa,<extra_id_0>,a segunda vez dele
I angaîpá kó kena'ĩ,<extra_id_0>,Sao mas essas folgadas
Peteumẽ xe rapirõmo,<extra_id_0>,Deixai de me prantear
îerobîá-tenhẽa,<extra_id_0>,gloria va
O monhangaramo nde rekó kuapa,<extra_id_0>,Reconhecendo que tu es o seu proprio criador
Ereîtykype kunumĩ amõ nde abiîxûara nde 'arybo moropotara suí?,<extra_id_0>,Lancaste algum menino que estava aconchegado a ti sobre ti por desejo sensual
"Pesapîá abaré, pe mbo'esara",<extra_id_0>,Obedecei ao padre vosso mestre
Eresugûykápe kunhataĩ amõ?,<extra_id_0>,Desvirginaste alguma menina
Mosapy ipó xe boîáramo nde rekó ereîkuakub mokõî gûyrá sapukaî'e'ymebéne,<extra_id_0>,Na verdade tres vezes negaras ser meu discipulo antes de o galo cantar duas vezes
Ereî'apixabype amõno?,<extra_id_0>,Feriste alguem tambem
Xe kuaukámo xe rubixaba supémo,<extra_id_0>,Denunciar-me-iam ao meu imperador
Peró turusu-eté nde suí,<extra_id_0>,Pedro e maior que tu
Aîpotá-te kûé kunhã-mendara mã!,<extra_id_0>,Ah como desejo aquela mulher casada
Xe pukusam,<extra_id_0>,Eu fui peado
tĩmuku,<extra_id_0>,lit tromba comprida gorgulho inseto coleoptero
"Ara yby sokeme, xe ruri",<extra_id_0>,Quando fustigava o sol a terra eu vim
Xe rekó-aé arekó,<extra_id_0>,Tenho meu modo de ser diferente VLB I 103 Ore reko-reko-ae oroereko - Temos nossos modos de ser diferentes
"Okûabépe irã so'o, gûyrá?",<extra_id_0>.,Escaparao futuramente os animais os passaros
Ybakype îandé sorama monhanga,<extra_id_0>,Fazendo-nos ir para o ceu
Sesé Tupã resé bé o îerobîasápe,<extra_id_0>,Por ter ele esperanca nela e em Deus
Xe asang,<extra_id_0>.,Eu sou rechonchudo
Abáp'amẽ asé osenõî oîkotebẽmo?,<extra_id_0>.,Quem necessariamente a gente chama estando aflita
Ereîpotápe îandy-karaíba pupé ixé nde pixyba?,<extra_id_0>,Queres que eu te unte com oleo bento
Xe mba'ekugûab,<extra_id_0>,Eu sou sabio
abo'o-bo'o,<extra_id_0>,escabelar desfazer o penteado de desgrenhar o cabelo de etc
"Oîkobé xe pytybõanameté, tubixá-katu Aîmbiré, apŷaba moangaîpapara",<extra_id_0>,Existe meu auxiliar verdadeiro o grande chefe Aimbire o pervertedor dos indios
ybyrakytĩabusu,<extra_id_0>,serra braceira
E'ikatu bépe amõ 'ara pupé amõme asé tara?,<extra_id_0>,Pode tambem a gente toma-lo algumas vezes em outros dias
Mamõ nhẽ kanhẽ-motara i py'a îaîporaká,<extra_id_0>,O desejo de sumir para longe enche seus coracoes
A'e iî abaíbymo abá supé xe ro'o 'u,<extra_id_0>,Mas seria dificil para as pessoas comer minha carne
