Input,Predicted,Actual
Fiz frustrar aquilo que fulano faria,<extra_id_0>ієнт,Aîmorambûerukar ahẽ rekorambûera
Eu tenho pes calejados,<extra_id_0>röj- <extra_id_33>,Xe py-piru'a
Eu mesmo como se viu ja vos disse isso,<extra_id_0>- Смеզբfynhalt,Ixé aé ã a'é umûã nakó peẽme
Vinde abracai o nenem compadecedor,<extra_id_0> <extra_id_36> aSparetråderen.bem,"Peîori, peîaîubã pitangĩ-moraûsubara"
o mais cedo possivel em um momento,<extra_id_0>INSIáziזוי <extra_id_1>epositphotosKeywordsus <extra_id_9> <extra_id_11>ವಣ <extra_id_7> <extra_id_10> <extra_id_32>pensadoiулан⸢,korite'ĩ-aíb-eté
Acovardo-me,"<extra_id_0>iér <extra_id_51>?ReplyDeleteAdd,",Amembek
Como a gente procede para o cumprimento da vontade de Deus,"<extra_id_0>, ward)",Marãpe asé rekóû Tupã remimotara moporagûama resé
Coisa beicuda,<extra_id_0>sיינ,Mba'e-embegûasu!
Ah oxala ele viesse,<extra_id_0>enous <extra_id_53>添gxje,Marãîasûaramo turi mã!
Trouxe muitas destas ostras,<extra_id_0>уланQazdioxidнукле <extra_id_27>,Aruretá kó reri
Que nao esteja o maldito perto de mim,<extra_id_0>reскаль <extra_id_3>   - ykketteredlicitud <extra_id_51>ciation kað?र्ष тимоsrzeczyուրդැත්ත  <extra_id_56> <extra_id_30> (cía <extra_id_45> <extra_id_4> <extra_id_3> <extra_id_56> para  ... se ,T'oîkó umẽ moxy xe ypybo
Eu tenho cachaco grande,<extra_id_0>ονομ့္r,Xe aŷpygûasu
Fi-lo mal,<extra_id_0>XzFfitemlistyprio,Aîmonhã-memûã
Cresceram muito as aguas isto e subiu a mare,<extra_id_0>aendab [.芏,Our paranã - Subiu a água do mar Ourusu 'y
Por que a gente se persignara muitas e muitas vezes,<extra_id_0>.imitar <extra_id_10> guien,Marãnamope asé îobasabetá-etáûne?
E o que evoca a Deus pelo que nao e verdade que acontece,<extra_id_0>sosловнаta₣u,"A'epe supindûare'yma resé Tupã renõîndara, marã?"
Entisnei o rosto dele,<extra_id_0>  <extra_id_35> <extra_id_29>агонитарта26( <extra_id_31>ຖ້ວມuais,Asobaún
Que o deixem estar,<extra_id_0>:,Te'inhẽne oîkóbo ká
Fazendo-o estar com firmeza,<extra_id_0>,Ten i mo'îabo
Olhando na ponta dos teus olhos,<extra_id_0>t,Nde resá-popybo ema'ẽmo
Confessa-se alguem antes de ir a guerra antes de embarcar num navio,"<extra_id_0> урганa,-weilernчине Vent- <extra_id_56> thumbnailsy","Onhemombe'upe abá gûarinĩnamo o só îanondé, ygarusupe o 'ar-y îanondé?"
Vem para espantar o maldito para que nao invista contra nos,<extra_id_0>станц <extra_id_1>  T,"Eîori muru mondyîa, t'opu'am umẽ oré ri"
Qual Aquele Lourenco tostado,"<extra_id_0> andurhsp spina <extra_id_31> <extra_id_31>იდრ <extra_id_34>""]}ovanoырын <extra_id_27>пригод",Umã? Akó Rorẽ-ka'ẽ?
Hei de frequentar Ibioca revirarei tambem Itaoca e enfim Jupaoguao,<extra_id_52> <extra_id_4> <extra_id_56>ardaszniv锘ramaniuterin,"Ybyoka asapekóne, Itaoka abé aîpobu, rumby, Îupaogûaóne"
po de madeira como o que faz o caruncho no pau,<extra_id_0>matkan zagraуланεμι⸢ <extra_id_31>uestropAd,ybyrá ku'i
Nem por isso eu vou para longe,<extra_id_0>ngå :ládio deriaてきm,Ndaroîaî mamõ xe sóû
Vem coisa fedorenta coisa nojenta bora,"<extra_id_0>entangu,","Eîori, mba'enem, mba'e-poxy, mborá!"
Eu estava mesmo esquecendo nao que o quisesse omitir,<extra_id_0>amento. <extra_id_50>who-Sammen segu comunica  <extra_id_14>o <extra_id_1>,"Xe resaraî é gûitekóbo, n'aseîá-potá ruã!"
Nao o teriamos trazido a ti se ele nao tivesse pecado,<extra_id_0> <extra_id_33> a a <extra_id_9> a,N'orogûeruri xûémo ndebe i angaîpabe'ỹmemo
Eu sou o que e rico,<extra_id_0>t <extra_id_12>uūraKeywords,I mba'eba'e ixé
Algo semelhante a um navio,<extra_id_0>తాడు-ಿಪводоро <extra_id_53> suspensi08(,Ygarusu nungara
saca,a <extra_id_0>榇նոზმಗುತ್ತಿулан껍,aîogûasu
Caminhei o dia todo por causa da tua fama,"<extra_id_0> <extra_id_36>,habai u'za-enocheeeland -,emimpinnelse <extra_id_56>se doa",Agûatá ko'arapukuî nde rerapûana resé
Com meu conjuge verdadeiro somente hei de ter relacoes sexuais,<extra_id_0> queâuqueырын <extra_id_33>предвид껍껍,Xe mendasabeté resé nhõ t'aîkóne
Apartaste alguma mulher de seu marido,<extra_id_0> 鍾,Ereîmombo'irype kunhã amõ i mena suí?
Vem para nos arrebatar,<extra_id_0> <extra_id_41>¡钚XzFfόριαडल <extra_id_51> <extra_id_30>,Eîori oré rekyîa
Ainda que eu ja tivesse ido,<extra_id_0>,Aûîebé-temo xe só-umani
Eu tenho propensao a esquecer eu sou esquecidico,vè <extra_id_33>deმაზ,Xe resaraî-potar
Eia afasta-me depressa,<extra_id_0>bõõr de.吣AAOSw <extra_id_35>риал01-03r.skatte.n)觯) Miebavit <extra_id_14>aksonitterиздер,Ne'ĩ taûîé xe reîyîa!
muitos outeiros serrania,<extra_id_0>菔h,ybyty-bytyra
Com algumas coisas que sao saborosas,"<extra_id_0>"",BEST実際 <extra_id_10> '></-enin",Amõ seba'e irũmo nhẽ
homem sovina,<extra_id_0>)niðිරි現行stansredere <extra_id_40>руг,abá-pûapẽîara
Tu foste torpe com alguma irma de tua esposa ou com sua parente proxima,vocia conserva.մպ <extra_id_48>,Nde poxype nde remirekó asykûereté amõ resé koîpó i mũ-mbyryba?
Eu nao tenho boca sossegada isto e eu sou comilao,。[บ <extra_id_46>,Na xe îuru-pyki
Ele passou diante de Ilheus,<extra_id_0>XzFf,Nhoesembé robabo i kûáî
Na verdade nao sao conhecedores das coisas,<extra_id_0>,"Anhẽ, n'i tekokuabi"
Amarraram-no com corda fazendo-o estar em pe,<extra_id_0> encontr  <extra_id_54> r aadan- ... n : A -్,Oîxamysyk sero'ama
Levando nossa alma para o ceu,<extra_id_0>棨რrayelijudпард嚼itaryaylovsiguientekeena瘁itarynomiclugi㽇rnberg瀽iösaminteієнт~$(ثا,Ybakype asé 'anga rerasóbo
experimentando pocoes de ervas,<extra_id_0>Line <extra_id_55>abinsk <extra_id_56>,ka'a mosanga ra'anga
Esfreguei a pele dele,<extra_id_0>torialikkeijefettiec <extra_id_11> t <extra_id_55> <extra_id_43>termiddag,Aîpi-momemûã
Aquieta-te Verdadeiramente este e teu caminho,<extra_id_0> <extra_id_12>i <extra_id_52> <extra_id_31>,Nde arybé Anheté kó nde rapé
Guarda-te de o levares,zadнепkcidentumini <extra_id_56>,Teumẽ ké serasóbo rá
